product_name,brand,model,color,noise_cancellation,battery_hrs,bt_version,charging_port,water_rating,price_usd,release_year,warranty_yrs,avg_rating,review_count,primary_use,price_segment,rating_category,battery_category,warranty_category
Oppo Enco Air 3,Oppo,Enco Air 3,Dark Green,Yes,21.5,5.0,USB-C,IP55,240,2023,1,4.5,591,Gaming,Mid-Range,Excellent,Medium,Standard
Skullcandy Rail,Skullcandy,Rail,Carbon,Yes,33.5,5.3,Lightning,Not Rated,360,2023,1,4.5,4179,Music/Casual,Premium,Excellent,Medium,Standard
Apple AirPods 2,Apple,AirPods 2,Carbon,No,28.8,5.0,USB-C,Not Rated,130,2023,2,4.1,2552,Commuting/Travel,Mid-Range,Good,Medium,Extended
Jabra Elite 7 Pro,Jabra,Elite 7 Pro,Rose Gold,Yes,34.5,4.2,USB-C,IPX2,270,2021,2,4.8,14476,Bass/Casual,Premium,Excellent,Medium,Extended
JBL Tour Pro 2,JBL,Tour Pro 2,Indigo,Yes,33.3,4.2,Lightning,IPX7,220,2021,1,4.5,662,Work/Office,Mid-Range,Excellent,Medium,Standard
Shokz OpenFit Air,Shokz,OpenFit Air,Space Gray,Yes,29,5.2,Micro-USB,IP55,260,2021,2,4.1,6253,Studio/Pro,Premium,Good,Medium,Extended
Samsung Galaxy Buds Live,Samsung,Galaxy Buds Live,Cream,No,23.4,5.2,USB-C,Not Rated,210,2019,2,4.4,1615,Commuting/Travel,Mid-Range,Good,Medium,Extended
boAt Nirvana Crystl,boAt,Nirvana Crystl,Navy,Yes,13.4,5.0,USB-C,Not Rated,300,2020,2,3.8,7664,Music/Audiophile,Premium,Average,Low,Extended
Oppo Enco Air 2,Oppo,Enco Air 2,Cream,No,28.3,5.1,USB-C,IP57,100,2022,1,4.8,9210,Work/Office,Mid-Range,Excellent,Medium,Standard
Oppo Enco Air 3,Oppo,Enco Air 3,Red,Yes,57.6,5.2,USB-C,IP55,240,2023,2,4.2,581,Music/Casual,Mid-Range,Good,High,Extended
Redmi Buds 6 Play,Redmi,Buds 6 Play,Pearl White,Yes,24.5,5.0,USB-C,IP57,340,2024,1,4.4,5962,Budget/Everyday,Premium,Good,Medium,Standard
Edifier TWS1 Pro,Edifier,TWS1 Pro,Indigo,Yes,21.4,5.3,USB-C,IPX4,240,2020,2,4.3,660,Music/Audiophile,Mid-Range,Good,Medium,Extended
Anker Soundcore P40i,Anker Soundcore,P40i,Gunmetal,Yes,26.2,4.2,Micro-USB,Not Rated,340,2022,1,4.7,2795,Commuting/Travel,Premium,Excellent,Medium,Standard
CMF Buds Pro,CMF,Buds Pro,Rose Gold,Yes,39.9,5.2,Lightning,IPX4,260,2018,1,4.5,4859,Commuting/Travel,Premium,Excellent,Medium,Standard
pTron Bassbuds Jade,pTron,Bassbuds Jade,Forest Green,No,26.7,5.0,Lightning,IP54,260,2018,1,4.4,518,Budget/Everyday,Premium,Good,Medium,Standard
Noise Buds VS104,Noise,Buds VS104,Space Gray,Yes,23.9,5.0,Lightning,IPX2,330,2020,2,4.8,9861,Sport/Fitness,Premium,Excellent,Medium,Extended
Anker Soundcore Liberty 4 NC,Anker Soundcore,Liberty 4 NC,Space Gray,No,16.3,5.1,USB-C,IPX7,140,2023,2,4.9,920,Budget/Everyday,Mid-Range,Excellent,Low,Extended
Redmi Buds 6,Redmi,Buds 6,Indigo,No,32.6,5.0,USB-C,IPX7,100,2022,1,4.2,14009,Music/Casual,Mid-Range,Good,Medium,Standard
Anker Soundcore P40i,Anker Soundcore,P40i,Titanium,No,26.3,Multipoint 5.3,Lightning,IP54,170,2020,1,4.6,2570,Music/Casual,Mid-Range,Excellent,Medium,Standard
Redmi Buds 6 Play,Redmi,Buds 6 Play,Forest Green,Yes,36.6,5.2,USB-C,Not Rated,360,2023,1,4,5823,Sport/Fitness,Premium,Good,Medium,Standard
