ID,Brand,Model,Type,Connectivity,Driver Type,Freq Low (Hz),Freq High (Hz),Impedance (Ω),Sensitivity (dB),THD (%),Cable Length (m),Weight (g),Microphone,Noise Cancellation,Foldable,Battery (hrs),BT Version,Codecs,Charging Port,Water Rating,Color,Price (USD),Release Year,Warranty (yrs),Avg Rating,Review Count,Primary Use,Form Factor,Open/Closed
1,Fiio,MDR 150Pro,Wired,3.5mm,Dynamic,4,40000,250,90.6,0.0032,1.5,377,True,False,False,,,,,None,Cream,130,2016,3,4.4,1031,Work/Office,Over-Ear,Closed
2,Philips,HE 300 Open,Wired,3.5mm,Planar,4,35000,47,96.5,0.0065,2,482,True,False,False,,,,,None,Midnight Blue,590,2023,3,3.6,235,Gaming,Over-Ear,Open
3,Apple,Drift 500,Wireless,Bluetooth,Balanced Armature,18,22000,22,104.3,0.011,,9.6,True,True,True,21.5,5.0,"aptX HD,aptX,AAC,SBC",USB-C,IP55,Dark Green,240,2023,1,4.5,591,Gaming,In-Ear,Closed
4,1MORE,E834,Wired,3.5mm,Hybrid,15,30000,18,108.4,0.0046,1.5,15.6,False,False,False,,,,,None,Champagne,100,2020,1,4.3,227,Gaming,In-Ear,Closed
5,Shokz,Drops 200,Wireless,Bluetooth,Balanced Armature,20,40000,22,111.7,0.0133,,4.1,True,True,True,33.5,5.3,"AAC,SBC",Lightning,None,Carbon,360,2023,1,4.5,4179,Music/Casual,In-Ear,Closed
6,Koss,Vibe 700,Wireless,Bluetooth,Dynamic,8,22000,32,104.7,0.0122,,340,True,False,True,25.8,5.3,"LHDC,AAC,SBC",Micro-USB,IP57,Gunmetal,160,2022,1,4.3,515,Work/Office,Over-Ear,Open
7,Philips,Max 200,Wireless,Bluetooth,Dynamic,6,25000,48,106.2,0.0102,,238,True,True,True,52.7,5.0,"AAC,SBC",Micro-USB,IP55,Cream,220,2022,1,4.5,134,Music/Audiophile,Over-Ear,Open
8,Bose,Sport 3,Wireless,Bluetooth,Planar,5,35000,24,97.9,0.0113,,297,True,False,True,49.8,4.2,"AAC,SBC",USB-C,None,Brown,160,2023,2,4.1,1646,Music/Audiophile,Over-Ear,Closed
9,Tin HiFi,LCD 1000,Wired,3.5mm,Dynamic,10,50000,150,104.4,0.0034,1.5,267,False,False,False,,,,,None,White,200,2023,1,4,335,Music/Audiophile,Over-Ear,Closed
10,Sony,Air Max,Wireless,Bluetooth,Balanced Armature,10,40000,22,111.1,0.0124,,6.3,True,False,True,28.8,5.0,"aptX HD,aptX,AAC,SBC",USB-C,None,Carbon,130,2023,2,4.1,2552,Commuting/Travel,In-Ear,Closed
