brand,model,type,connectivity,driver_type,freq_low_hz,freq_high_hz,impedance_ohm,sensitivity_db,thd_percent,weight_g,microphone,noise_cancellation,foldable,battery_hrs,bt_version,codecs,charging_port,water_rating,color,price_usd,release_year,warranty_yrs,avg_rating,review_count,primary_use,form_factor,price_segment,rating_category,battery_category,warranty_category,product_name
Oppo,Enco Air 3,Wireless,Bluetooth,Balanced Armature,18,22000,22,104.3,0.011,9.6,True,True,True,21.5,5.0,"aptX HD,aptX,AAC,SBC",USB-C,IP55,Dark Green,240,2023,1,4.5,591,Gaming,In-Ear,Mid-Range,Excellent,Medium,Standard,Oppo Enco Air 3
Skullcandy,Rail,Wireless,Bluetooth,Balanced Armature,20,40000,22,111.7,0.0133,4.1,True,True,True,33.5,5.3,"AAC,SBC",Lightning,Not Rated,Carbon,360,2023,1,4.5,4179,Music/Casual,In-Ear,Premium,Excellent,Medium,Standard,Skullcandy Rail
Apple,AirPods 2,Wireless,Bluetooth,Balanced Armature,10,40000,22,111.1,0.0124,6.3,True,False,True,28.8,5.0,"aptX HD,aptX,AAC,SBC",USB-C,Not Rated,Carbon,130,2023,2,4.1,2552,Commuting/Travel,In-Ear,Mid-Range,Good,Medium,Extended,Apple AirPods 2
Jabra,Elite 7 Pro,Wireless,Bluetooth,Dynamic,20,20000,18,111.0,0.0045,5.1,True,True,True,34.5,4.2,SBC,USB-C,IPX2,Rose Gold,270,2021,2,4.8,14476,Bass/Casual,In-Ear,Premium,Excellent,Medium,Extended,Jabra Elite 7 Pro
JBL,Tour Pro 2,Wireless,Bluetooth,Balanced Armature,10,20000,32,101.6,0.0085,4.4,True,True,True,33.3,4.2,"aptX HD,aptX,AAC,SBC",Lightning,IPX7,Indigo,220,2021,1,4.5,662,Work/Office,In-Ear,Mid-Range,Excellent,Medium,Standard,JBL Tour Pro 2
Shokz,OpenFit Air,Wireless,Bluetooth,Hybrid,20,22000,22,107.4,0.014,10.2,True,True,False,29.0,5.2,"aptX Adaptive,aptX HD,AAC,SBC",Micro-USB,IP55,Space Gray,260,2021,2,4.1,6253,Studio/Pro,In-Ear,Premium,Good,Medium,Extended,Shokz OpenFit Air
Samsung,Galaxy Buds Live,Wireless,Bluetooth,Hybrid,15,24000,16,111.7,0.0096,9.6,True,False,False,23.4,5.2,"LDAC,AAC,SBC",USB-C,Not Rated,Cream,210,2019,2,4.4,1615,Commuting/Travel,In-Ear,Mid-Range,Good,Medium,Extended,Samsung Galaxy Buds Live
boAt,Nirvana Crystl,Wireless,Bluetooth,Dynamic,10,40000,18,109.3,0.0076,11.3,True,True,False,13.4,5.0,"LDAC,AAC,SBC",USB-C,Not Rated,Navy,300,2020,2,3.8,7664,Music/Audiophile,In-Ear,Premium,Average,Low,Extended,boAt Nirvana Crystl
Oppo,Enco Air 2,Wireless,Bluetooth,Dynamic,20,40000,16,107.2,0.0137,9.9,True,False,False,28.3,5.1,"aptX HD,aptX,AAC,SBC",USB-C,IP57,Cream,100,2022,1,4.8,9210,Work/Office,In-Ear,Mid-Range,Excellent,Medium,Standard,Oppo Enco Air 2
Oppo,Enco Air 3,Wireless,Bluetooth,Planar,20,24000,22,108.0,0.0133,6.6,True,True,True,57.6,5.2,"AAC,SBC",USB-C,IP55,Red,240,2023,2,4.2,581,Music/Casual,In-Ear,Mid-Range,Good,High,Extended,Oppo Enco Air 3
Redmi,Buds 6 Play,Wireless,Bluetooth,Dynamic,10,22000,32,110.5,0.0146,4.6,True,True,False,24.5,5.0,"aptX HD,aptX,AAC,SBC",USB-C,IP57,Pearl White,340,2024,1,4.4,5962,Budget/Everyday,In-Ear,Premium,Good,Medium,Standard,Redmi Buds 6 Play
Edifier,TWS1 Pro,Wireless,Bluetooth,Balanced Armature,10,40000,22,108.1,0.0049,7.5,True,True,False,21.4,5.3,"LHDC,AAC,SBC",USB-C,IPX4,Indigo,240,2020,2,4.3,660,Music/Audiophile,In-Ear,Mid-Range,Good,Medium,Extended,Edifier TWS1 Pro
Anker Soundcore,P40i,Wireless,Bluetooth,Hybrid,20,24000,18,107.3,0.0072,9.1,True,True,False,26.2,4.2,"LDAC,AAC,SBC",Micro-USB,Not Rated,Gunmetal,340,2022,1,4.7,2795,Commuting/Travel,In-Ear,Premium,Excellent,Medium,Standard,Anker Soundcore P40i
CMF,Buds Pro,Wireless,Bluetooth,Planar,18,40000,22,109.0,0.0071,4.9,True,True,True,39.9,5.2,SBC,Lightning,IPX4,Rose Gold,260,2018,1,4.5,4859,Commuting/Travel,In-Ear,Premium,Excellent,Medium,Standard,CMF Buds Pro
pTron,Bassbuds Jade,Wireless,Bluetooth,Dynamic,10,24000,18,105.3,0.0144,10.8,True,False,True,26.7,5.0,"aptX HD,aptX,AAC,SBC",Lightning,IP54,Forest Green,260,2018,1,4.4,518,Budget/Everyday,In-Ear,Premium,Good,Medium,Standard,pTron Bassbuds Jade
Noise,Buds VS104,Wireless,Bluetooth,Planar,20,22000,16,104.2,0.0097,4.9,True,True,True,23.9,5.0,"LDAC,AAC,SBC",Lightning,IPX2,Space Gray,330,2020,2,4.8,9861,Sport/Fitness,In-Ear,Premium,Excellent,Medium,Extended,Noise Buds VS104
Anker Soundcore,Liberty 4 NC,Wireless,Bluetooth,Balanced Armature,10,22000,32,105.6,0.0098,8.6,True,False,True,16.3,5.1,"AAC,SBC",USB-C,IPX7,Space Gray,140,2023,2,4.9,920,Budget/Everyday,In-Ear,Mid-Range,Excellent,Low,Extended,Anker Soundcore Liberty 4 NC
Redmi,Buds 6,Wireless,Bluetooth,Planar,15,24000,22,111.6,0.0114,7.1,True,False,False,32.6,5.0,"aptX,AAC,SBC",USB-C,IPX7,Indigo,100,2022,1,4.2,14009,Music/Casual,In-Ear,Mid-Range,Good,Medium,Standard,Redmi Buds 6
Anker Soundcore,P40i,Wireless,Bluetooth,Dynamic,10,22000,22,107.7,0.0084,9.4,True,False,True,26.3,Multipoint 5.3,"AAC,SBC",Lightning,IP54,Titanium,170,2020,1,4.6,2570,Music/Casual,In-Ear,Mid-Range,Excellent,Medium,Standard,Anker Soundcore P40i
Redmi,Buds 6 Play,Wireless,Bluetooth,Hybrid,15,24000,18,107.5,0.0104,4.7,True,True,False,36.6,5.2,SBC,USB-C,Not Rated,Forest Green,360,2023,1,4.0,5823,Sport/Fitness,In-Ear,Premium,Good,Medium,Standard,Redmi Buds 6 Play
Realme,Buds T300,Wireless,Bluetooth,Balanced Armature,18,24000,32,102.9,0.0127,7.2,True,False,False,39.0,5.2,"aptX,AAC,SBC",USB-C,IPX8,Cream,150,2021,1,4.0,1307,Sport/Fitness,In-Ear,Mid-Range,Good,Medium,Standard,Realme Buds T300
Philips,TAT1108,Wireless,Bluetooth,Hybrid,10,24000,32,103.0,0.0042,6.3,True,False,True,25.5,5.3,"aptX HD,aptX,AAC,SBC",USB-C,IPX2,Pearl White,140,2021,2,4.7,638,Studio/Pro,In-Ear,Mid-Range,Excellent,Medium,Extended,Philips TAT1108
Logitech,Zone True Wireless,Wireless,Bluetooth,Balanced Armature,10,20000,18,100.2,0.0068,5.2,True,False,False,19.2,5.3,"AAC,SBC",USB-C,IPX8,Navy,120,2023,1,4.5,3034,Bass/Casual,In-Ear,Mid-Range,Excellent,Low,Standard,Logitech Zone True Wireless
Xiaomi,Buds 4 Pro,Wireless,Bluetooth,Dynamic,20,24000,32,102.6,0.0129,6.2,True,False,False,40.8,5.1,SBC,USB-C,Not Rated,Red,90,2022,1,4.4,2289,Studio/Pro,In-Ear,Budget,Good,High,Standard,Xiaomi Buds 4 Pro
Anker Soundcore,Life P2,Wireless,Bluetooth,Dynamic,20,20000,18,108.6,0.0089,11.2,True,False,False,20.4,5.3,"LDAC,AAC,SBC",USB-C,IPX4,Cosmic Black,130,2021,1,4.2,2436,Commuting/Travel,In-Ear,Mid-Range,Good,Medium,Standard,Anker Soundcore Life P2
Nothing,Ear 2,Wireless,Bluetooth,Dynamic,20,22000,18,109.2,0.0147,9.2,True,True,False,14.1,4.2,SBC,USB-C,Not Rated,Sand,210,2021,1,4.7,1374,Gaming,In-Ear,Mid-Range,Excellent,Low,Standard,Nothing Ear 2
CMF,Buds Pro 2,Wireless,Bluetooth,Planar,20,22000,18,105.5,0.0049,5.5,True,False,False,38.5,5.1,"aptX HD,aptX,AAC,SBC",Micro-USB,IP57,Titanium,190,2023,1,4.3,3563,Studio/Pro,In-Ear,Mid-Range,Good,Medium,Standard,CMF Buds Pro 2
Sennheiser,Momentum True Wireless 4,Wireless,Bluetooth,Balanced Armature,15,22000,22,110.3,0.0047,7.7,True,False,False,26.6,5.1,"aptX HD,aptX,AAC,SBC",USB-C,IP57,Graphite,260,2018,2,4.4,668,Gaming,In-Ear,Premium,Good,Medium,Extended,Sennheiser Momentum True Wireless 4
JBL,Wave Buds,Wireless,Bluetooth,Hybrid,18,24000,32,111.6,0.0107,7.9,True,True,False,25.8,5.0,"aptX HD,aptX,AAC,SBC",Lightning,IPX8,Indigo,270,2019,1,4.3,11783,Bass/Casual,In-Ear,Premium,Good,Medium,Standard,JBL Wave Buds
boAt,Nirvana Ion,Wireless,Bluetooth,Dynamic,20,24000,16,107.4,0.011,8.9,True,True,False,21.4,Multipoint 5.3,"LDAC,AAC,SBC",USB-C,IPX2,Cosmic Black,200,2021,2,4.2,2004,Hi-Fi/Reference,In-Ear,Mid-Range,Good,Medium,Extended,boAt Nirvana Ion
Nothing,Ear 1,Wireless,Bluetooth,Balanced Armature,18,20000,16,108.2,0.0064,8.3,True,False,False,47.6,5.0,"AAC,SBC",Micro-USB,IPX7,Graphite,90,2023,1,4.6,700,Bass/Casual,In-Ear,Budget,Excellent,High,Standard,Nothing Ear 1
boAt,Airdopes 131,Wireless,Bluetooth,Dynamic,20,24000,16,107.6,0.0124,7.6,True,True,False,13.4,5.2,"LDAC,aptX,AAC,SBC",USB-C,IPX4,Gunmetal,290,2019,1,4.5,2596,Studio/Pro,In-Ear,Premium,Excellent,Low,Standard,boAt Airdopes 131
Samsung,Galaxy Buds3 Pro,Wireless,Bluetooth,Dynamic,10,24000,22,106.5,0.0121,10.1,True,True,False,19.1,5.2,"AAC,SBC",Lightning,IP57,Midnight Blue,280,2021,2,3.9,27797,Commuting/Travel,In-Ear,Premium,Average,Low,Extended,Samsung Galaxy Buds3 Pro
Beats,Studio Buds Plus,Wireless,Bluetooth,Balanced Armature,18,22000,22,101.1,0.0073,4.7,True,True,False,56.1,5.2,"LDAC,aptX,AAC,SBC",Micro-USB,Not Rated,Dark Green,250,2023,1,4.5,4539,Music/Audiophile,In-Ear,Premium,Excellent,High,Standard,Beats Studio Buds Plus
CMF,Buds Pro 2,Wireless,Bluetooth,Hybrid,20,40000,16,102.9,0.0107,4.6,True,True,False,19.9,5.2,"LHDC,AAC,SBC",Micro-USB,Not Rated,Navy,140,2018,1,4.6,2257,Budget/Everyday,In-Ear,Mid-Range,Excellent,Low,Standard,CMF Buds Pro 2
JBL,Tune Flex,Wireless,Bluetooth,Dynamic,10,40000,32,106.1,0.0037,10.9,True,False,True,40.9,5.1,"LDAC,AAC,SBC",USB-C,IPX4,Matte Black,130,2019,1,3.9,3130,Bass/Casual,In-Ear,Mid-Range,Average,High,Standard,JBL Tune Flex
Xiaomi,Buds 5 Pro,Wireless,Bluetooth,Dynamic,15,24000,18,105.0,0.0116,6.2,True,True,False,19.6,4.2,"LDAC,AAC,SBC",Micro-USB,IPX8,Titanium,260,2018,2,4.7,344,Work/Office,In-Ear,Premium,Excellent,Low,Extended,Xiaomi Buds 5 Pro
Anker Soundcore,Liberty 4 NC,Wireless,Bluetooth,Hybrid,15,22000,16,111.2,0.0033,8.3,True,False,False,33.3,5.2,"aptX Adaptive,aptX HD,AAC,SBC",Lightning,IP55,Champagne,100,2023,1,4.4,25181,Studio/Pro,In-Ear,Mid-Range,Good,Medium,Standard,Anker Soundcore Liberty 4 NC
Apple,AirPods 3,Wireless,Bluetooth,Dynamic,10,24000,16,100.5,0.0085,5.3,True,True,False,10.7,5.0,"AAC,SBC",Micro-USB,IP55,Space Gray,220,2022,2,4.2,1431,Work/Office,In-Ear,Mid-Range,Good,Low,Extended,Apple AirPods 3
Beats,Studio Buds,Wireless,Bluetooth,Dynamic,20,22000,32,102.4,0.0136,8.2,True,True,True,26.7,5.3,"AAC,SBC",USB-C,Not Rated,Forest Green,240,2023,2,4.6,956,Gaming,In-Ear,Mid-Range,Excellent,Medium,Extended,Beats Studio Buds
Noise,Buds VS104,Wireless,Bluetooth,Hybrid,20,20000,18,107.2,0.0141,11.7,True,True,False,19.4,5.1,"aptX,AAC,SBC",USB-C,Not Rated,Black,250,2019,2,3.9,3508,Hi-Fi/Reference,In-Ear,Premium,Average,Low,Extended,Noise Buds VS104
Boult,X Mustang,Wireless,Bluetooth,Dynamic,20,22000,22,110.6,0.0074,7.6,True,True,False,28.9,5.3,"LHDC,AAC,SBC",USB-C,IPX8,Cream,190,2020,2,4.6,2112,Music/Audiophile,In-Ear,Mid-Range,Excellent,Medium,Extended,Boult X Mustang
Apple,AirPods Pro 2,Wireless,Bluetooth,Hybrid,15,40000,16,101.6,0.0082,7.4,True,False,True,33.7,4.2,"aptX HD,aptX,AAC,SBC",USB-C,IPX2,Rose Gold,100,2021,2,4.3,1929,Studio/Pro,In-Ear,Mid-Range,Good,Medium,Extended,Apple AirPods Pro 2
Jabra,Elite 7 Pro,Wireless,Bluetooth,Dynamic,18,40000,18,104.1,0.0138,6.9,True,True,False,14.2,4.2,"aptX,AAC,SBC",USB-C,IP55,Cosmic Black,130,2019,1,4.1,247,Gaming,In-Ear,Mid-Range,Good,Low,Standard,Jabra Elite 7 Pro
OnePlus,Buds Pro,Wireless,Bluetooth,Dynamic,15,40000,32,101.4,0.0079,4.4,True,True,False,27.4,5.3,"AAC,SBC",USB-C,IPX7,Black,190,2020,1,4.5,6640,Gaming,In-Ear,Mid-Range,Excellent,Medium,Standard,OnePlus Buds Pro
Nothing,Ear (a),Wireless,Bluetooth,Planar,10,20000,18,106.1,0.0086,8.0,True,False,False,34.8,5.3,"AAC,SBC",USB-C,IP57,Gunmetal,150,2019,1,4.2,1116,Bass/Casual,In-Ear,Mid-Range,Good,Medium,Standard,Nothing Ear (a)
Beats,Studio Buds,Wireless,Bluetooth,Balanced Armature,20,20000,16,109.1,0.0057,6.7,True,True,True,27.9,5.3,"AAC,SBC",Micro-USB,IPX8,Red,250,2024,1,4.5,132,Music/Audiophile,In-Ear,Premium,Excellent,Medium,Standard,Beats Studio Buds
Beats,Studio Buds Plus,Wireless,Bluetooth,Dynamic,18,40000,18,101.7,0.0102,11.1,True,False,False,45.0,5.2,"LDAC,aptX,AAC,SBC",USB-C,IP54,Brown,260,2022,1,4.5,351,Gaming,In-Ear,Premium,Excellent,High,Standard,Beats Studio Buds Plus
Xiaomi,Redmi Buds Essential,Wireless,Bluetooth,Planar,10,20000,16,102.1,0.006,4.6,True,False,True,35.6,4.2,"aptX HD,aptX,AAC,SBC",Micro-USB,IPX4,White,160,2024,1,4.3,1355,Music/Audiophile,In-Ear,Mid-Range,Good,Medium,Standard,Xiaomi Redmi Buds Essential
Skullcandy,Dime 3,Wireless,Bluetooth,Planar,10,24000,32,104.6,0.0129,4.2,True,False,False,14.6,5.3,"aptX HD,aptX,AAC,SBC",USB-C,IPX8,Sand,110,2019,2,4.2,6961,Work/Office,In-Ear,Mid-Range,Good,Low,Extended,Skullcandy Dime 3
Logitech,G Fits,Wireless,Bluetooth,Hybrid,15,22000,16,106.2,0.0064,5.2,True,False,False,40.2,5.3,"aptX,AAC,SBC",Lightning,Not Rated,Pearl White,140,2019,1,4.6,3186,Music/Audiophile,In-Ear,Mid-Range,Excellent,High,Standard,Logitech G Fits
Skullcandy,Sesh Evo,Wireless,Bluetooth,Balanced Armature,15,24000,32,107.2,0.0038,7.0,True,True,True,31.9,5.0,"LDAC,AAC,SBC",Micro-USB,IP57,Forest Green,210,2019,1,4.7,16119,Hi-Fi/Reference,In-Ear,Mid-Range,Excellent,Medium,Standard,Skullcandy Sesh Evo
Redmi,Buds 6,Wireless,Bluetooth,Balanced Armature,20,40000,22,110.5,0.0114,7.4,True,True,False,17.6,5.3,SBC,USB-C,IPX8,Dark Green,190,2024,2,4.6,2375,Budget/Everyday,In-Ear,Mid-Range,Excellent,Low,Extended,Redmi Buds 6
Beats,Studio Buds,Wireless,Bluetooth,Planar,20,20000,22,102.1,0.0091,8.5,True,False,False,24.9,5.1,"AAC,SBC",Lightning,IPX2,Pearl White,110,2022,1,3.9,1875,Budget/Everyday,In-Ear,Mid-Range,Average,Medium,Standard,Beats Studio Buds
Redmi,Buds 5,Wireless,Bluetooth,Balanced Armature,20,22000,18,108.8,0.0135,5.7,True,True,False,45.9,5.1,"AAC,SBC",Micro-USB,IPX8,Champagne,230,2019,1,4.6,11492,Bass/Casual,In-Ear,Mid-Range,Excellent,High,Standard,Redmi Buds 5
Xiaomi,Buds 4 Pro,Wireless,Bluetooth,Hybrid,18,40000,18,110.4,0.0107,11.4,True,True,False,28.9,Multipoint 5.3,"AAC,SBC",USB-C,IP54,Gunmetal,230,2021,2,4.7,482,Gaming,In-Ear,Mid-Range,Excellent,Medium,Extended,Xiaomi Buds 4 Pro
Edifier,TWS1 Pro,Wireless,Bluetooth,Balanced Armature,10,20000,22,105.8,0.0066,6.9,True,True,False,20.6,5.2,"LHDC,AAC,SBC",USB-C,Not Rated,Dark Green,140,2018,1,4.3,2412,Commuting/Travel,In-Ear,Mid-Range,Good,Medium,Standard,Edifier TWS1 Pro
Redmi,Buds 6,Wireless,Bluetooth,Dynamic,18,20000,22,102.6,0.0116,4.1,True,True,True,31.5,5.2,"AAC,SBC",Lightning,IPX7,Matte Black,170,2019,2,4.4,592,Gaming,In-Ear,Mid-Range,Good,Medium,Extended,Redmi Buds 6
Realme,Buds Air 6,Wireless,Bluetooth,Balanced Armature,15,40000,16,107.1,0.0066,9.8,True,True,False,31.5,5.0,SBC,Micro-USB,IPX4,Graphite,220,2022,2,4.7,106,Music/Casual,In-Ear,Mid-Range,Excellent,Medium,Extended,Realme Buds Air 6
Sennheiser,Momentum True Wireless 3,Wireless,Bluetooth,Dynamic,20,22000,16,104.5,0.0139,8.2,True,True,True,30.5,5.0,"LDAC,AAC,SBC",Lightning,IPX4,Cream,160,2020,1,4.5,749,Music/Audiophile,In-Ear,Mid-Range,Excellent,Medium,Standard,Sennheiser Momentum True Wireless 3
Apple,AirPods 3,Wireless,Bluetooth,Dynamic,15,40000,18,107.9,0.0098,5.3,True,True,False,31.9,5.3,"LDAC,aptX,AAC,SBC",USB-C,IPX4,Cosmic Black,200,2018,2,4.6,7064,Hi-Fi/Reference,In-Ear,Mid-Range,Excellent,Medium,Extended,Apple AirPods 3
Boult,Z20,Wireless,Bluetooth,Planar,20,22000,32,104.9,0.0035,9.9,True,False,True,20.5,5.0,"aptX HD,aptX,AAC,SBC",Lightning,IP55,Brown,200,2021,1,4.5,2715,Bass/Casual,In-Ear,Mid-Range,Excellent,Medium,Standard,Boult Z20
Beats,Studio Buds,Wireless,Bluetooth,Dynamic,10,22000,22,107.4,0.0097,10.6,True,True,False,28.5,5.2,"AAC,SBC",USB-C,IPX7,Gunmetal,110,2018,1,4.2,2711,Music/Audiophile,In-Ear,Mid-Range,Good,Medium,Standard,Beats Studio Buds
Noise,Air Buds Max,Wireless,Bluetooth,Balanced Armature,20,24000,32,105.6,0.0144,5.1,True,False,False,38.5,5.2,"LDAC,AAC,SBC",USB-C,IP55,Midnight Blue,160,2022,1,4.5,9044,Budget/Everyday,In-Ear,Mid-Range,Excellent,Medium,Standard,Noise Air Buds Max
